parameter-bott,parameter-cbbotr,parameter-cbheight,parameter-cbotr,parameter-cbtopr,parameter-cheight,parameter-ctopr,parameter-pitch,parameter-silvert,parameter-topt,value-EMI_SE,value_stddev-EMI_SE,value-Transmission,value_stddev-Transmission,failed,created,id
86.94081365,35.97098598,551.1384878,163.0697409,112.5550653,659.5581973,8.232143699,377.0946485,8.672248961,79.70906821,40.6588,,0.489579,,FALSE,1650090707,34578124
88.45374652,0.782040527,967.1768031,51.99370128,8.866770925,774.0254439,48.65170491,325.8564795,8.085883714,62.59690278,40.6588,,0.590197,,FALSE,1650090635,34578115
53.04307929,81.41087818,249.6698611,101.4395132,89.31505138,104.9647515,4.642200629,318.7421994,15.498344,85.01538974,45.621,,0.428417,,FALSE,1650090483,34578087
90.72432647,55.61648856,218.9801404,163.4622372,192.2829715,537.4731992,100.2814438,387.1174261,16.84677328,72.23755621,46.1449,,0.408211,,FALSE,1650090344,34578071
55.63512677,73.69349684,745.1390743,133.9173704,157.4733882,637.9944036,9.210484592,393.1829129,17.10947351,24.3498937,46.639,,0.426027,,FALSE,1650090289,34578065
52.17014863,29.17716824,172.0411894,33.85808919,104.4662109,59.90116563,23.9567908,231.8367705,19.28783032,30.49350008,47.5501,,0.544221,,FALSE,1650090202,34578053
60.83259997,20.42422513,508.7893415,61.36742296,142.0898753,6.49288825,25.54250571,344.3629647,17.67459727,99.97696451,46.639,,0.246969,,FALSE,1650090164,34578050
48.03625765,48.37267738,340.1170869,95.39266712,96.56491167,29.36006724,21.78249269,238.0565148,5.650283027,51.68682096,37.1771,,0.866209,,FALSE,1650090087,34578038
65.86422519,17.59971639,126.7187069,14.58675214,23.59493819,183.3582244,6.086760214,270.2726032,8.700948322,9.853469868,40.6588,,0.571745,,FALSE,1650090001,34578010
50.98087739,53.65292304,899.4900321,112.6147996,78.51414718,102.4230195,46.80601576,278.8670689,13.05666396,36.92555542,44.4677,,0.643779,,FALSE,1650089924,34578001
31.96447757,11.56346714,176.1374522,108.2569304,70.42433738,133.7010863,89.40341358,373.7896735,11.79179613,11.35582814,43.1374,,0.652786,,FALSE,1650089815,34577998
26.72861622,17.61064082,303.6337545,90.38623158,51.1555729,843.4216537,19.50966497,305.7875523,1.968714103,61.16096749,27.8719,,0.812275,,FALSE,1650089696,34577980
58.74261023,44.88781356,915.7796016,89.22154698,53.92282373,738.7368061,37.56538704,254.7379955,14.69196219,38.01442017,45.0635,,0.652006,,FALSE,1650089586,34577951
53.8731866,49.15121945,330.5893996,115.6351757,78.82231344,427.9548505,113.8004198,290.6823968,8.569442512,40.91967505,40.6588,,0.751434,,FALSE,1650089479,34577949
